array_type	array_size	frequency	cpu_cores	elapsed_time
expt_seq	10	1.6GHz	1	0.035063
expt_seq	10	1.6GHz	1	0.037348
expt_seq	10	1.6GHz	1	0.037349
expt_seq	10	1.6GHz	1	0.035917
expt_seq	10	1.6GHz	1	0.037465
expt_seq	10	1.6GHz	2	0.02079
expt_seq	10	1.6GHz	2	0.019516
expt_seq	10	1.6GHz	2	0.019425
expt_seq	10	1.6GHz	2	0.019459
expt_seq	10	1.6GHz	2	0.020711
expt_seq	10	1.6GHz	3	0.023443
expt_seq	10	1.6GHz	3	0.019681
expt_seq	10	1.6GHz	3	0.019733
expt_seq	10	1.6GHz	3	0.020644
expt_seq	10	1.6GHz	3	0.019353
expt_seq	10	1.6GHz	4	0.022589
expt_seq	10	1.6GHz	4	0.021859
expt_seq	10	1.6GHz	4	0.019403
expt_seq	10	1.6GHz	4	0.01949
expt_seq	10	1.6GHz	4	0.019561
expt_seq	10	1.6GHz	5	0.019082
expt_seq	10	1.6GHz	5	0.019222
expt_seq	10	1.6GHz	5	0.019167
expt_seq	10	1.6GHz	5	0.019177
expt_seq	10	1.6GHz	5	0.019225
expt_seq	10	1.6GHz	6	0.011289
expt_seq	10	1.6GHz	6	0.011407
expt_seq	10	1.6GHz	6	0.012685
expt_seq	10	1.6GHz	6	0.010231
expt_seq	10	1.6GHz	6	0.01022
expt_seq	10	1.6GHz	7	0.011269
expt_seq	10	1.6GHz	7	0.010714
expt_seq	10	1.6GHz	7	0.011246
expt_seq	10	1.6GHz	7	0.010936
expt_seq	10	1.6GHz	7	0.010207
expt_seq	10	1.6GHz	8	0.011019
expt_seq	10	1.6GHz	8	0.011306
expt_seq	10	1.6GHz	8	0.012683
expt_seq	10	1.6GHz	8	0.010295
expt_seq	10	1.6GHz	8	0.011227
expt_seq	10	1.8GHz	1	0.037389
expt_seq	10	1.8GHz	1	0.037352
expt_seq	10	1.8GHz	1	0.037259
expt_seq	10	1.8GHz	1	0.037693
expt_seq	10	1.8GHz	1	0.037493
expt_seq	10	1.8GHz	2	0.019493
expt_seq	10	1.8GHz	2	0.021093
expt_seq	10	1.8GHz	2	0.021313
expt_seq	10	1.8GHz	2	0.019564
expt_seq	10	1.8GHz	2	0.020874
expt_seq	10	1.8GHz	3	0.02063
expt_seq	10	1.8GHz	3	0.020924
expt_seq	10	1.8GHz	3	0.019322
expt_seq	10	1.8GHz	3	0.019458
expt_seq	10	1.8GHz	3	0.020534
expt_seq	10	1.8GHz	4	0.0197
expt_seq	10	1.8GHz	4	0.019468
expt_seq	10	1.8GHz	4	0.023656
expt_seq	10	1.8GHz	4	0.019572
expt_seq	10	1.8GHz	4	0.019304
expt_seq	10	1.8GHz	5	0.019073
expt_seq	10	1.8GHz	5	0.019342
expt_seq	10	1.8GHz	5	0.019281
expt_seq	10	1.8GHz	5	0.019014
expt_seq	10	1.8GHz	5	0.018932
expt_seq	10	1.8GHz	6	0.011147
expt_seq	10	1.8GHz	6	0.011673
expt_seq	10	1.8GHz	6	0.01127
expt_seq	10	1.8GHz	6	0.012777
expt_seq	10	1.8GHz	6	0.012096
expt_seq	10	1.8GHz	7	0.011867
expt_seq	10	1.8GHz	7	0.010927
expt_seq	10	1.8GHz	7	0.010093
expt_seq	10	1.8GHz	7	0.010782
expt_seq	10	1.8GHz	7	0.01105
expt_seq	10	1.8GHz	8	0.011185
expt_seq	10	1.8GHz	8	0.011025
expt_seq	10	1.8GHz	8	0.01176
expt_seq	10	1.8GHz	8	0.011237
expt_seq	10	1.8GHz	8	0.012326
expt_seq	100	1.6GHz	1	0.04076
expt_seq	100	1.6GHz	1	0.041615
expt_seq	100	1.6GHz	1	0.041696
expt_seq	100	1.6GHz	1	0.041767
expt_seq	100	1.6GHz	1	0.041602
expt_seq	100	1.6GHz	2	0.022166
expt_seq	100	1.6GHz	2	0.023704
expt_seq	100	1.6GHz	2	0.022248
expt_seq	100	1.6GHz	2	0.022418
expt_seq	100	1.6GHz	2	0.023642
expt_seq	100	1.6GHz	3	0.022087
expt_seq	100	1.6GHz	3	0.021835
expt_seq	100	1.6GHz	3	0.021903
expt_seq	100	1.6GHz	3	0.026592
expt_seq	100	1.6GHz	3	0.021832
expt_seq	100	1.6GHz	4	0.021489
expt_seq	100	1.6GHz	4	0.022592
expt_seq	100	1.6GHz	4	0.022929
expt_seq	100	1.6GHz	4	0.022856
expt_seq	100	1.6GHz	4	0.028344
expt_seq	100	1.6GHz	5	0.021021
expt_seq	100	1.6GHz	5	0.02053
expt_seq	100	1.6GHz	5	0.019845
expt_seq	100	1.6GHz	5	0.020688
expt_seq	100	1.6GHz	5	0.023398
expt_seq	100	1.6GHz	6	0.015119
expt_seq	100	1.6GHz	6	0.013086
expt_seq	100	1.6GHz	6	0.013389
expt_seq	100	1.6GHz	6	0.01511
expt_seq	100	1.6GHz	6	0.012925
expt_seq	100	1.6GHz	7	0.012822
expt_seq	100	1.6GHz	7	0.011636
expt_seq	100	1.6GHz	7	0.011724
expt_seq	100	1.6GHz	7	0.012372
expt_seq	100	1.6GHz	7	0.013204
expt_seq	100	1.6GHz	8	0.01306
expt_seq	100	1.6GHz	8	0.012026
expt_seq	100	1.6GHz	8	0.012938
expt_seq	100	1.6GHz	8	0.012221
expt_seq	100	1.6GHz	8	0.013143
expt_seq	100	1.8GHz	1	0.041632
expt_seq	100	1.8GHz	1	0.0416
expt_seq	100	1.8GHz	1	0.042433
expt_seq	100	1.8GHz	1	0.041605
expt_seq	100	1.8GHz	1	0.041581
expt_seq	100	1.8GHz	2	0.022533
expt_seq	100	1.8GHz	2	0.022202
expt_seq	100	1.8GHz	2	0.022325
expt_seq	100	1.8GHz	2	0.023844
expt_seq	100	1.8GHz	2	0.02369
expt_seq	100	1.8GHz	3	0.022297
expt_seq	100	1.8GHz	3	0.026135
expt_seq	100	1.8GHz	3	0.023825
expt_seq	100	1.8GHz	3	0.025441
expt_seq	100	1.8GHz	3	0.02234
expt_seq	100	1.8GHz	4	0.021466
expt_seq	100	1.8GHz	4	0.022278
expt_seq	100	1.8GHz	4	0.021752
expt_seq	100	1.8GHz	4	0.021709
expt_seq	100	1.8GHz	4	0.022162
expt_seq	100	1.8GHz	5	0.021009
expt_seq	100	1.8GHz	5	0.022685
expt_seq	100	1.8GHz	5	0.021579
expt_seq	100	1.8GHz	5	0.022039
expt_seq	100	1.8GHz	5	0.021906
expt_seq	100	1.8GHz	6	0.013815
expt_seq	100	1.8GHz	6	0.013191
expt_seq	100	1.8GHz	6	0.013458
expt_seq	100	1.8GHz	6	0.01455
expt_seq	100	1.8GHz	6	0.016152
expt_seq	100	1.8GHz	7	0.012298
expt_seq	100	1.8GHz	7	0.013187
expt_seq	100	1.8GHz	7	0.011827
expt_seq	100	1.8GHz	7	0.01334
expt_seq	100	1.8GHz	7	0.012921
expt_seq	100	1.8GHz	8	0.012284
expt_seq	100	1.8GHz	8	0.013223
expt_seq	100	1.8GHz	8	0.013236
expt_seq	100	1.8GHz	8	0.013615
expt_seq	100	1.8GHz	8	0.013157
expt_seq	1000	1.6GHz	1	0.088234
expt_seq	1000	1.6GHz	1	0.088447
expt_seq	1000	1.6GHz	1	0.087877
expt_seq	1000	1.6GHz	1	0.087877
expt_seq	1000	1.6GHz	1	0.088273
expt_seq	1000	1.6GHz	2	0.049763
expt_seq	1000	1.6GHz	2	0.047567
expt_seq	1000	1.6GHz	2	0.047924
expt_seq	1000	1.6GHz	2	0.048583
expt_seq	1000	1.6GHz	2	0.047954
expt_seq	1000	1.6GHz	3	0.041274
expt_seq	1000	1.6GHz	3	0.040331
expt_seq	1000	1.6GHz	3	0.040341
expt_seq	1000	1.6GHz	3	0.039894
expt_seq	1000	1.6GHz	3	0.040141
expt_seq	1000	1.6GHz	4	0.035632
expt_seq	1000	1.6GHz	4	0.035913
expt_seq	1000	1.6GHz	4	0.036866
expt_seq	1000	1.6GHz	4	0.035957
expt_seq	1000	1.6GHz	4	0.035819
expt_seq	1000	1.6GHz	5	0.032244
expt_seq	1000	1.6GHz	5	0.032293
expt_seq	1000	1.6GHz	5	0.034026
expt_seq	1000	1.6GHz	5	0.032083
expt_seq	1000	1.6GHz	5	0.032032
expt_seq	1000	1.6GHz	6	0.027327
expt_seq	1000	1.6GHz	6	0.027108
expt_seq	1000	1.6GHz	6	0.028581
expt_seq	1000	1.6GHz	6	0.027143
expt_seq	1000	1.6GHz	6	0.028229
expt_seq	1000	1.6GHz	7	0.025515
expt_seq	1000	1.6GHz	7	0.025765
expt_seq	1000	1.6GHz	7	0.024251
expt_seq	1000	1.6GHz	7	0.025433
expt_seq	1000	1.6GHz	7	0.027295
expt_seq	1000	1.6GHz	8	0.028776
expt_seq	1000	1.6GHz	8	0.027228
expt_seq	1000	1.6GHz	8	0.034162
expt_seq	1000	1.6GHz	8	0.029032
expt_seq	1000	1.6GHz	8	0.03144
expt_seq	1000	1.8GHz	1	0.087819
expt_seq	1000	1.8GHz	1	0.087956
expt_seq	1000	1.8GHz	1	0.088231
expt_seq	1000	1.8GHz	1	0.088244
expt_seq	1000	1.8GHz	1	0.088409
expt_seq	1000	1.8GHz	2	0.047264
expt_seq	1000	1.8GHz	2	0.047282
expt_seq	1000	1.8GHz	2	0.049314
expt_seq	1000	1.8GHz	2	0.04966
expt_seq	1000	1.8GHz	2	0.049177
expt_seq	1000	1.8GHz	3	0.040193
expt_seq	1000	1.8GHz	3	0.045623
expt_seq	1000	1.8GHz	3	0.040373
expt_seq	1000	1.8GHz	3	0.039532
expt_seq	1000	1.8GHz	3	0.048341
expt_seq	1000	1.8GHz	4	0.035543
expt_seq	1000	1.8GHz	4	0.038751
expt_seq	1000	1.8GHz	4	0.035625
expt_seq	1000	1.8GHz	4	0.037164
expt_seq	1000	1.8GHz	4	0.037458
expt_seq	1000	1.8GHz	5	0.033773
expt_seq	1000	1.8GHz	5	0.033386
expt_seq	1000	1.8GHz	5	0.033275
expt_seq	1000	1.8GHz	5	0.034064
expt_seq	1000	1.8GHz	5	0.03391
expt_seq	1000	1.8GHz	6	0.028888
expt_seq	1000	1.8GHz	6	0.030509
expt_seq	1000	1.8GHz	6	0.032098
expt_seq	1000	1.8GHz	6	0.023774
expt_seq	1000	1.8GHz	6	0.025904
expt_seq	1000	1.8GHz	7	0.031694
expt_seq	1000	1.8GHz	7	0.032184
expt_seq	1000	1.8GHz	7	0.028612
expt_seq	1000	1.8GHz	7	0.026375
expt_seq	1000	1.8GHz	7	0.023889
expt_seq	1000	1.8GHz	8	0.028462
expt_seq	1000	1.8GHz	8	0.032663
expt_seq	1000	1.8GHz	8	0.027099
expt_seq	1000	1.8GHz	8	0.026901
expt_seq	1000	1.8GHz	8	0.030446
expt_seq	10000	1.6GHz	1	0.615768
expt_seq	10000	1.6GHz	1	0.616106
expt_seq	10000	1.6GHz	1	0.619059
expt_seq	10000	1.6GHz	1	0.614352
expt_seq	10000	1.6GHz	1	0.617416
expt_seq	10000	1.6GHz	2	0.330558
expt_seq	10000	1.6GHz	2	0.322952
expt_seq	10000	1.6GHz	2	0.329201
expt_seq	10000	1.6GHz	2	0.325418
expt_seq	10000	1.6GHz	2	0.328045
expt_seq	10000	1.6GHz	3	0.239827
expt_seq	10000	1.6GHz	3	0.236608
expt_seq	10000	1.6GHz	3	0.235337
expt_seq	10000	1.6GHz	3	0.23409
expt_seq	10000	1.6GHz	3	0.239215
expt_seq	10000	1.6GHz	4	0.191984
expt_seq	10000	1.6GHz	4	0.205952
expt_seq	10000	1.6GHz	4	0.195244
expt_seq	10000	1.6GHz	4	0.193412
expt_seq	10000	1.6GHz	4	0.194859
expt_seq	10000	1.6GHz	5	0.13661
expt_seq	10000	1.6GHz	5	0.140978
expt_seq	10000	1.6GHz	5	0.137455
expt_seq	10000	1.6GHz	5	0.133869
expt_seq	10000	1.6GHz	5	0.132907
expt_seq	10000	1.6GHz	6	0.114738
expt_seq	10000	1.6GHz	6	0.115468
expt_seq	10000	1.6GHz	6	0.126903
expt_seq	10000	1.6GHz	6	0.114972
expt_seq	10000	1.6GHz	6	0.117644
expt_seq	10000	1.6GHz	7	0.108214
expt_seq	10000	1.6GHz	7	0.118944
expt_seq	10000	1.6GHz	7	0.112612
expt_seq	10000	1.6GHz	7	0.108751
expt_seq	10000	1.6GHz	7	0.106274
expt_seq	10000	1.6GHz	8	0.121179
expt_seq	10000	1.6GHz	8	0.139575
expt_seq	10000	1.6GHz	8	0.127475
expt_seq	10000	1.6GHz	8	0.134843
expt_seq	10000	1.6GHz	8	0.121882
expt_seq	10000	1.8GHz	1	0.616831
expt_seq	10000	1.8GHz	1	0.614627
expt_seq	10000	1.8GHz	1	0.611622
expt_seq	10000	1.8GHz	1	0.612345
expt_seq	10000	1.8GHz	1	0.614909
expt_seq	10000	1.8GHz	2	0.319519
expt_seq	10000	1.8GHz	2	0.326948
expt_seq	10000	1.8GHz	2	0.328596
expt_seq	10000	1.8GHz	2	0.325117
expt_seq	10000	1.8GHz	2	0.331314
expt_seq	10000	1.8GHz	3	0.235853
expt_seq	10000	1.8GHz	3	0.236762
expt_seq	10000	1.8GHz	3	0.233844
expt_seq	10000	1.8GHz	3	0.235679
expt_seq	10000	1.8GHz	3	0.233806
expt_seq	10000	1.8GHz	4	0.190396
expt_seq	10000	1.8GHz	4	0.191567
expt_seq	10000	1.8GHz	4	0.193943
expt_seq	10000	1.8GHz	4	0.191664
expt_seq	10000	1.8GHz	4	0.198307
expt_seq	10000	1.8GHz	5	0.14276
expt_seq	10000	1.8GHz	5	0.140453
expt_seq	10000	1.8GHz	5	0.134776
expt_seq	10000	1.8GHz	5	0.149665
expt_seq	10000	1.8GHz	5	0.136673
expt_seq	10000	1.8GHz	6	0.121107
expt_seq	10000	1.8GHz	6	0.119378
expt_seq	10000	1.8GHz	6	0.121805
expt_seq	10000	1.8GHz	6	0.119439
expt_seq	10000	1.8GHz	6	0.125674
expt_seq	10000	1.8GHz	7	0.111306
expt_seq	10000	1.8GHz	7	0.108301
expt_seq	10000	1.8GHz	7	0.108774
expt_seq	10000	1.8GHz	7	0.107225
expt_seq	10000	1.8GHz	7	0.109187
expt_seq	10000	1.8GHz	8	0.135575
expt_seq	10000	1.8GHz	8	0.124578
expt_seq	10000	1.8GHz	8	0.135167
expt_seq	10000	1.8GHz	8	0.123276
expt_seq	10000	1.8GHz	8	0.125371
expt_seq	100000	1.6GHz	1	6.183403
expt_seq	100000	1.6GHz	1	6.191769
expt_seq	100000	1.6GHz	1	6.169529
expt_seq	100000	1.6GHz	1	6.187729
expt_seq	100000	1.6GHz	1	6.178229
expt_seq	100000	1.6GHz	2	3.440205
expt_seq	100000	1.6GHz	2	3.413651
expt_seq	100000	1.6GHz	2	3.418929
expt_seq	100000	1.6GHz	2	3.426264
expt_seq	100000	1.6GHz	2	3.414896
expt_seq	100000	1.6GHz	3	2.449817
expt_seq	100000	1.6GHz	3	2.481553
expt_seq	100000	1.6GHz	3	2.46952
expt_seq	100000	1.6GHz	3	2.478183
expt_seq	100000	1.6GHz	3	2.465355
expt_seq	100000	1.6GHz	4	2.012378
expt_seq	100000	1.6GHz	4	1.999077
expt_seq	100000	1.6GHz	4	2.016371
expt_seq	100000	1.6GHz	4	1.978096
expt_seq	100000	1.6GHz	4	1.997832
expt_seq	100000	1.6GHz	5	1.478175
expt_seq	100000	1.6GHz	5	1.460105
expt_seq	100000	1.6GHz	5	1.325192
expt_seq	100000	1.6GHz	5	1.338014
expt_seq	100000	1.6GHz	5	1.415296
expt_seq	100000	1.6GHz	6	1.06899
expt_seq	100000	1.6GHz	6	1.097123
expt_seq	100000	1.6GHz	6	1.061846
expt_seq	100000	1.6GHz	6	1.060599
expt_seq	100000	1.6GHz	6	1.067324
expt_seq	100000	1.6GHz	7	1.125132
expt_seq	100000	1.6GHz	7	1.112207
expt_seq	100000	1.6GHz	7	0.948138
expt_seq	100000	1.6GHz	7	0.939057
expt_seq	100000	1.6GHz	7	0.942486
expt_seq	100000	1.6GHz	8	0.950999
expt_seq	100000	1.6GHz	8	0.970088
expt_seq	100000	1.6GHz	8	0.973682
expt_seq	100000	1.6GHz	8	0.98436
expt_seq	100000	1.6GHz	8	0.971481
expt_seq	100000	1.8GHz	1	6.215207
expt_seq	100000	1.8GHz	1	6.176562
expt_seq	100000	1.8GHz	1	6.193333
expt_seq	100000	1.8GHz	1	6.182325
expt_seq	100000	1.8GHz	1	6.1838
expt_seq	100000	1.8GHz	2	3.439283
expt_seq	100000	1.8GHz	2	3.425154
expt_seq	100000	1.8GHz	2	3.421298
expt_seq	100000	1.8GHz	2	3.421308
expt_seq	100000	1.8GHz	2	3.420162
expt_seq	100000	1.8GHz	3	2.473532
expt_seq	100000	1.8GHz	3	2.462578
expt_seq	100000	1.8GHz	3	2.459137
expt_seq	100000	1.8GHz	3	2.492353
expt_seq	100000	1.8GHz	3	2.47038
expt_seq	100000	1.8GHz	4	2.017549
expt_seq	100000	1.8GHz	4	2.012519
expt_seq	100000	1.8GHz	4	2.004542
expt_seq	100000	1.8GHz	4	1.971538
expt_seq	100000	1.8GHz	4	1.986205
expt_seq	100000	1.8GHz	5	1.330002
expt_seq	100000	1.8GHz	5	1.433573
expt_seq	100000	1.8GHz	5	1.414261
expt_seq	100000	1.8GHz	5	1.315041
expt_seq	100000	1.8GHz	5	1.379569
expt_seq	100000	1.8GHz	6	1.172834
expt_seq	100000	1.8GHz	6	1.092245
expt_seq	100000	1.8GHz	6	1.054902
expt_seq	100000	1.8GHz	6	1.066439
expt_seq	100000	1.8GHz	6	1.082179
expt_seq	100000	1.8GHz	7	0.92581
expt_seq	100000	1.8GHz	7	0.918585
expt_seq	100000	1.8GHz	7	0.934595
expt_seq	100000	1.8GHz	7	0.937387
expt_seq	100000	1.8GHz	7	0.938612
expt_seq	100000	1.8GHz	8	0.993525
expt_seq	100000	1.8GHz	8	0.975424
expt_seq	100000	1.8GHz	8	0.989944
expt_seq	100000	1.8GHz	8	0.955244
expt_seq	100000	1.8GHz	8	0.997481
expt_seq	1000000	1.6GHz	1	65.764133
expt_seq	1000000	1.6GHz	1	65.785661
expt_seq	1000000	1.6GHz	1	66.032066
expt_seq	1000000	1.6GHz	1	65.796722
expt_seq	1000000	1.6GHz	1	65.651284
expt_seq	1000000	1.6GHz	2	35.858087
expt_seq	1000000	1.6GHz	2	36.048963
expt_seq	1000000	1.6GHz	2	35.537919
expt_seq	1000000	1.6GHz	2	35.847096
expt_seq	1000000	1.6GHz	2	35.783661
expt_seq	1000000	1.6GHz	3	25.333242
expt_seq	1000000	1.6GHz	3	25.62924
expt_seq	1000000	1.6GHz	3	25.668072
expt_seq	1000000	1.6GHz	3	26.022082
expt_seq	1000000	1.6GHz	3	25.87636
expt_seq	1000000	1.6GHz	4	20.44887
expt_seq	1000000	1.6GHz	4	20.546482
expt_seq	1000000	1.6GHz	4	20.593989
expt_seq	1000000	1.6GHz	4	20.29004
expt_seq	1000000	1.6GHz	4	20.643972
expt_seq	1000000	1.6GHz	5	14.021976
expt_seq	1000000	1.6GHz	5	14.038745
expt_seq	1000000	1.6GHz	5	13.922852
expt_seq	1000000	1.6GHz	5	13.783688
expt_seq	1000000	1.6GHz	5	14.158343
expt_seq	1000000	1.6GHz	6	11.038712
expt_seq	1000000	1.6GHz	6	10.61533
expt_seq	1000000	1.6GHz	6	10.83423
expt_seq	1000000	1.6GHz	6	10.937739
expt_seq	1000000	1.6GHz	6	10.552269
expt_seq	1000000	1.6GHz	7	9.564007
expt_seq	1000000	1.6GHz	7	9.53597
expt_seq	1000000	1.6GHz	7	9.222154
expt_seq	1000000	1.6GHz	7	9.230908
expt_seq	1000000	1.6GHz	7	9.314136
expt_seq	1000000	1.6GHz	8	9.470133
expt_seq	1000000	1.6GHz	8	9.901927
expt_seq	1000000	1.6GHz	8	9.488301
expt_seq	1000000	1.6GHz	8	9.45994
expt_seq	1000000	1.6GHz	8	9.449655
expt_seq	1000000	1.8GHz	1	65.8554
expt_seq	1000000	1.8GHz	1	65.697637
expt_seq	1000000	1.8GHz	1	65.843259
expt_seq	1000000	1.8GHz	1	65.787153
expt_seq	1000000	1.8GHz	1	65.81382
expt_seq	1000000	1.8GHz	2	35.816105
expt_seq	1000000	1.8GHz	2	35.952469
expt_seq	1000000	1.8GHz	2	35.745625
expt_seq	1000000	1.8GHz	2	35.906696
expt_seq	1000000	1.8GHz	2	35.599911
expt_seq	1000000	1.8GHz	3	25.664557
expt_seq	1000000	1.8GHz	3	25.615027
expt_seq	1000000	1.8GHz	3	25.842981
expt_seq	1000000	1.8GHz	3	25.3786
expt_seq	1000000	1.8GHz	3	25.651123
expt_seq	1000000	1.8GHz	4	21.062875
expt_seq	1000000	1.8GHz	4	21.013764
expt_seq	1000000	1.8GHz	4	20.771239
expt_seq	1000000	1.8GHz	4	20.728188
expt_seq	1000000	1.8GHz	4	20.336981
expt_seq	1000000	1.8GHz	5	14.203453
expt_seq	1000000	1.8GHz	5	13.695507
expt_seq	1000000	1.8GHz	5	14.04803
expt_seq	1000000	1.8GHz	5	13.851788
expt_seq	1000000	1.8GHz	5	13.875485
expt_seq	1000000	1.8GHz	6	10.667856
expt_seq	1000000	1.8GHz	6	10.973114
expt_seq	1000000	1.8GHz	6	10.734659
expt_seq	1000000	1.8GHz	6	10.756178
expt_seq	1000000	1.8GHz	6	10.926847
expt_seq	1000000	1.8GHz	7	9.021656
expt_seq	1000000	1.8GHz	7	9.311326
expt_seq	1000000	1.8GHz	7	9.204869
expt_seq	1000000	1.8GHz	7	9.044321
expt_seq	1000000	1.8GHz	7	9.1915
expt_seq	1000000	1.8GHz	8	9.251366
expt_seq	1000000	1.8GHz	8	9.333499
expt_seq	1000000	1.8GHz	8	9.362132
expt_seq	1000000	1.8GHz	8	8.910501
expt_seq	1000000	1.8GHz	8	9.092493
random_seq	10	1.6GHz	1	0.037265
random_seq	10	1.6GHz	1	0.036669
random_seq	10	1.6GHz	1	0.037429
random_seq	10	1.6GHz	1	0.037348
random_seq	10	1.6GHz	1	0.037125
random_seq	10	1.6GHz	2	0.019341
random_seq	10	1.6GHz	2	0.019338
random_seq	10	1.6GHz	2	0.02098
random_seq	10	1.6GHz	2	0.021588
random_seq	10	1.6GHz	2	0.019444
random_seq	10	1.6GHz	3	0.019549
random_seq	10	1.6GHz	3	0.019449
random_seq	10	1.6GHz	3	0.019494
random_seq	10	1.6GHz	3	0.019452
